2016-12-07 14:33:43 [main] INFO  org.apache.catalina.core.StandardService - Starting service Tomcat
2016-12-07 14:33:43 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.5
2016-12-07 14:33:43 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2016-12-07 14:33:43 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3709 ms
2016-12-07 14:33:44 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2016-12-07 14:33:44 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2016-12-07 14:33:44 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2016-12-07 14:33:44 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2016-12-07 14:33:44 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2016-12-07 14:33:45 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5562c41e: startup date [Wed Dec 07 14:33:40 CST 2016]; root of context hierarchy
2016-12-07 14:33:45 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/advertise/getadvertises],methods=[POST]}" onto public java.util.List<net.codog.domain.Advertise> net.codog.web.AdvertiseController.getAdvertise()
2016-12-07 14:33:45 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/blog/getblogcount],methods=[POST]}" onto public java.lang.Integer net.codog.web.BlogController.getBlogCount(java.lang.Integer)
